,country
1806,"Denmark, France, Belgium, Italy, Netherlands, United States, United Kingdom"
1811,"United States, Australia, Mexico"
1824,"United Kingdom, Czech Republic, Germany, United States"
1837,"Russia, Poland, Serbia"
1842,"France, China, Japan, United States"
1861,"United States, South Korea, China"
1874,"Germany, Belgium"
1885,"Chile, Argentina"
1888,"China, United States, United Kingdom"
1891,"Pakistan, Norway, United States"
1908,"United Kingdom, Japan, United States"
1929,"Philippines, Singapore"
1942,"United States, Canada, Belgium, United Kingdom"
1950,Venezuela
1960,"Argentina, Uruguay, Serbia"
1963,"United States, Mexico, Colombia"
1966,"Colombia, Peru, United Kingdom"
1971,"Brazil, United States"
1995,"Czech Republic, United States"
1996,"Canada, France, Italy, Morocco, United States"
2004,"Canada, Spain, France"
2013,"Hong Kong, United States"
2014,"France, Canada, China, Cambodia"
2016,"United States, Indonesia"
2023,"Spain, France"
2041,"Spain, Mexico, France"
2046,"Spain, France, Italy"
2077,"Spain, France, United States"
2083,"United States, France, Canada"
2134,Israel
2170,"Italy, France"
2182,"United Kingdom, Canada, United States"
2187,"Cambodia, United States"
2204,"China, Japan"
2213,"United Arab Emirates, United States, United Kingdom"
2216,"Argentina, Italy"
2240,"United Kingdom, Israel, Russia"
2243,"Italy, Switzerland, Albania, Poland"
2249,"Spain, Cuba"
2255,"United States, Brazil"
2275,"United States, France, Mexico"
2278,"United States, Nicaragua"
2284,"Austria, Germany"
2291,"United Arab Emirates, Jordan, Lebanon"
2295,"France, United Kingdom, United States"
2299,"United Kingdom, United States, Spain, Germany, Greece, Canada"
2315,"France, Belgium, Luxembourg, Cambodia,"
2322,"Italy, Turkey"
2329,"Brazil, France"
2343,"India, Turkey"
2354,"Kenya, United States"
2356,"United States, South Korea"
2357,"South Korea, United States"
2380,"Italy, Canada, France"
2394,"Thailand, United States"
2417,"United Kingdom, Denmark, Canada, Croatia"
2420,"Netherlands, Belgium"
2444,"United Kingdom, Canada, United States, Cayman Islands"
2472,"Italy, Germany"
2487,"United States, France, United Kingdom, Japan"
2488,"United States, United Kingdom, Denmark, Sweden"
2502,"United States, United Kingdom, Italy"
2505,"United States, France, Canada, Spain"
2546,"Uruguay, Guatemala"
2568,"Germany, Australia, France, China"
2577,"United States, United Kingdom, Japan"
2578,"United States, United Kingdom, Canada"
2609,"Italy, Switzerland, France, Germany"
2624,"Russia, United States, China"
2631,"United States, Canada, Germany"
2651,"United States, Czech Republic"
2662,"Ireland, United States"
2666,"United States, United Arab Emirates"
2684,"France, Australia, Germany"
2686,"Hong Kong, China, United States"
2706,"Lebanon, United Arab Emirates, France, Switzerland, Germany"
2713,"United States, South Korea, Japan"
2734,"Romania, United States"
2757,West Germany
2775,"United States, Ireland"
2791,"Chile, Italy"
2814,"Ireland, United Kingdom, Italy, United States"
2825,Belgium
2827,"Poland,"
2835,"Slovenia, Croatia, Germany, Czech Republic, Qatar"
2842,"Canada, United Kingdom, Netherlands"
2857,"United Kingdom, United States, France"
2868,"Indonesia, United Kingdom"
2870,"United States, Spain, Germany"
2885,"India, Japan"
2900,"Switzerland, France, Belgium, United States"
2901,"China, South Korea, United States"
2919,"United Kingdom, France, Belgium"
2934,"Canada, Ireland, United States"
2972,"United Kingdom, United States, Dominican Republic"
2984,"United States, Senegal"
3006,"Germany, United Kingdom, United States"
3019,"United States, Canada, United Kingdom"
3020,"Canada, United States, France"
3032,"United Kingdom, Germany, Canada"
3043,"Argentina, France"
3045,"South Africa, Germany, Netherlands, France"
3058,"Canada, United States, United Kingdom, France, Luxembourg"
3059,"Finland, Germany, Belgium"
3074,"United States, United Kingdom, Germany"
3090,"Taiwan, China"
3114,Cambodia
3132,"Spain, Portugal"
3159,"Ireland, United States, France"
3184,Jordan
3225,Austria
3249,"Germany, United States, Canada"
3262,"United Kingdom, Germany, Canada, United States"
3286,"United States, France, Canada, Lebanon, Qatar"
3310,"Indonesia, Netherlands"
3371,"Netherlands, Belgium, United Kingdom, United States"
3398,"China, United States, Australia"
3405,"France, Belgium, China, United States"
3420,"Spain, United Kingdom"
3424,"United States, Chile, Israel"
3435,Bangladesh
3437,"United Kingdom, Norway, Denmark, Germany, Sweden"
3438,"United States, Japan, Canada"
3443,"Norway, Denmark, Sweden"
3468,"China, India, Nepal"
3500,"United States, Argentina"
3503,"Mexico, United States, Spain, Colombia"
